# Maker authoring sheet — one row per maker; edit in a spreadsheet, save as CSV.
# Columns: maker_name, founded, closed (blank=still active), region, mark_wording (;-separated), furniture_categories (;-separated), notes
# Regenerate:  node --import tsx scripts/generateAuthoredMakers.ts
# The generator skips makers already in the canonical library (reports them) and adds only new ones.
maker_name,founded,closed,region,mark_wording,furniture_categories,notes
Kroehler Manufacturing Co.,1893,1981,Naperville IL USA,Kroehler Manufacturing Co.; Kroehler Mfg. Co.; Kroehler,seating; upholstery; case_goods,Began as Naperville Lounge Company; Kroehler name adopted later.
Berkey & Gay Furniture Co.,1873,1948,Grand Rapids MI USA,Berkey & Gay Furniture Co.; Berkey and Gay; Berkey & Gay,case_goods; bedroom; dining; seating,Strong Grand Rapids Victorian and revival-era maker.
John Widdicomb Co.,1873,2002,Grand Rapids MI USA,John Widdicomb Co.; John Widdicomb; Widdicomb Furniture Co.,case_goods; bedroom; dining; tables,Use full wording to avoid false match on Widdicomb alone.
Kittinger Company,1866,,Buffalo NY USA,Kittinger Company; Kittinger; Kittinger Furniture,seating; tables; case_goods; reproduction furniture,Known for high-quality traditional and Colonial Revival reproduction furniture.
Century Furniture Co.,1947,,Hickory NC USA,Century Furniture Co.; Century Furniture; Century,case_goods; seating; tables; bedroom; dining,Century alone should be treated as weak unless paired with label context.
Henkel-Harris Co.,1946,,Winchester VA USA,Henkel-Harris Co.; Henkel Harris; Henkel-Harris,case_goods; bedroom; dining; tables,High-quality traditional case goods and reproductions.
Henredon Furniture Industries,1945,2018,Morganton NC USA,Henredon Furniture Industries; Henredon,case_goods; bedroom; dining; seating; tables,Premium postwar North Carolina maker.
Pennsylvania House,1887,2005,Lewisburg PA USA,Pennsylvania House; Pennsylvania House Furniture,case_goods; bedroom; dining; tables,Associated with Colonial Revival and traditional solid wood furniture.
Baker Furniture Co.,1890,,Allegan MI USA,Baker Furniture Co.; Baker Furniture; Baker,case_goods; seating; tables; bedroom; dining,Baker alone is weak without furniture label context.
L. & J.G. Stickley,1900,,Fayetteville NY USA,L. & J.G. Stickley; L & JG Stickley; Stickley,case_goods; seating; tables; bedroom; dining,Use Stickley carefully because multiple Stickley firms existed.
